bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,attack_personal_pct,outcome_bipartisanship_pct,attack_personal_norm,outcome_bipartisanship_norm,attack_personal_pct_norm,outcome_bipartisanship_pct_norm
G000576,Glenn Grothman,487.0,4.0,15.0,0.8213552361396305,3.0800821355236137,33.84160303869421,36.676009636889034,23.2090082066924,17.86157240067293
G000581,Vicente Gonzalez,86.0,0.0,10.0,0.0,11.627906976744185,28.613247652723473,27.806964536365253,17.376426176168696,87.16262679524294
G000583,Josh Gottheimer,277.0,7.0,53.0,2.527075812274368,19.133574007220215,37.98620191116468,93.88763695140234,38.161441759241214,99.83502271956078
G000585,Jimmy Gomez,356.0,20.0,18.0,5.617977528089887,5.056179775280898,56.94311238473351,42.40421558190651,68.41328559676867,32.79323181755115
G000586,Jesús García,193.0,11.0,8.0,5.699481865284974,4.145077720207254,43.72622037741582,24.577639682883927,69.1416394800698,25.313886065403246
G000587,Sylvia Garcia,255.0,6.0,5.0,2.3529411764705883,1.9607843137254901,36.586489164124316,20.137370370957736,36.49656667844185,11.707915307835965
G000589,Lance Gooden,271.0,33.0,8.0,12.177121771217712,2.952029520295203,74.39898923783343,24.577639682883927,98.36454857216323,17.069174642583828
G000590,Mark Green,622.0,10.0,12.0,1.607717041800643,1.929260450160772,42.27370068126419,31.23040338222601,29.6876702108738,11.55961545645946
G000591,Michael Guest,200.0,0.0,1.0,0.0,0.5,28.613247652723473,15.027941766894298,17.376426176168696,6.167477602840297
G000592,Jared Golden,266.0,1.0,22.0,0.37593984962406013,8.270676691729323,29.88410532808442,50.27717851067543,19.920630543983613,62.81984827190266
G000593,Carlos Gimenez,619.0,54.0,31.0,8.723747980613894,5.008077544426494,92.39742245233278,67.49409087242452,89.6808285316035,32.37662013070247
G000594,Tony Gonzales,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000596,Marjorie Greene,590.0,50.0,9.0,8.47457627118644,1.5254237288135595,90.04978453827317,26.16673879380551,88.5056612776784,9.776894550302167
G000597,Andrew Garbarino,205.0,1.0,24.0,0.4878048780487805,11.707317073170733,29.88410532808442,54.228954263620565,20.718976489851904,87.55860984522796
G000598,Robert Garcia,243.0,21.0,9.0,8.641975308641975,3.7037037037037033,58.39107061769976,26.16673879380551,89.3051905995303,22.042925354233372
G000599,Daniel Goldman,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000600,Marie Perez,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000601,Craig Goldman,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000602,Laura Gillen,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000603,Brandon Gill,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000604,Maggie Goodlander,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
G000605,Adam Gray,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
H000273,John Hickenlooper,972.0,17.0,64.0,1.7489711934156378,6.584362139917696,52.550664137511106,98.17500880814544,30.933557734737978,46.88033266620528
H000601,Bill Hagerty,159.0,13.0,4.0,8.176100628930817,2.515723270440252,46.65482104063198,18.771384182753586,86.97643619311077,14.541181513350733
H000874,Steny Hoyer,231.0,9.0,19.0,3.896103896103896,8.225108225108226,40.831611500213924,44.356548298261735,51.77353889237454,62.404875896230514
H001042,Mazie Hirono,246.0,73.0,6.0,29.67479674796748,2.4390243902439024,98.36188907621258,21.561260880381887,99.99999999720373,14.124249554567909
H001046,Martin Heinrich,551.0,68.0,33.0,12.341197822141561,5.9891107078039925,97.44163480529565,70.98181682257824,98.52623333559133,41.240310191331545
H001047,James Himes,203.0,16.0,11.0,7.8817733990147785,5.41871921182266,51.076895311127515,29.495798096473848,85.33598838037923,35.999170754804354
