,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,party letter,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
388,Deb Fischer,Senate,F000463,Nebraska,,Republican,5.0,45.95,8.0,18.58,19.0,23.074786893579198,5.428571428571429,25.812776634799917,0.0,75.65492745488088,0.0,83.13583541209483,3.0,78.95549716117105,0.0,26.880262246198537,R,10.27,61.10807280479088,0.463,83.20310056541828,347.13789447433305,382.79229677518015,39.27464791208223,C
394,Pete Ricketts,Senate,R000618,Nebraska,,Republican,5.0,45.95,11.0,26.14,37.0,42.87900493330123,5.393586005830904,25.57127396391031,2.0,74.41761931730336,0.2915451895043732,81.92133613326075,3.0,78.95549716117105,0.0,26.880262246198537,R,10.27,61.10807280479088,0.437,81.71201098304681,363.2526029057523,400.2913197497744,45.07784271594625,C
395,Catherine Cortez Masto,Senate,C001113,Nevada,,Democratic,18.0,99.79,36.0,93.07,101.0,96.41282680733367,19.09262759924385,98.86007325673225,40.0,46.6457570658433,7.561436672967864,39.589515423720755,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.36,19.30623371419069,679.7240259819297,691.4525058364478,99.05298466745656,A
399,Jacky Rosen,Senate,R000608,Nevada,,Democratic,5.0,45.95,19.0,51.57,99.0,95.8970426128873,16.89419795221843,96.4543806171623,44.0,43.56056661320863,7.508532423208192,39.91970618114296,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.287,24.057801807749556,527.7081635013622,538.0673656684685,85.20545140074304,A
403,Margaret Wood Hassan,Senate,H001076,New Hampshire,,Democratic,5.45,50.03,18.54,50.01,66.0,76.35664095437909,14.254859611231105,89.26729814852246,56.0,34.6072064019172,12.095032397408207,15.924200270804988,2.0,49.67566025565114,2.0,98.31351234111276,D,1.99,13.56296949740749,-0.236,27.722298777667,504.4777819445747,518.3126406120898,80.99396317428533,B
407,Jeanne Shaheen,Senate,S001181,New Hampshire,,Democratic,10.0,84.99,49.0,99.51,82.0,88.74104825418901,10.275689223057643,65.12874127988958,33.0,52.082384181757945,4.135338345864661,61.42442378601378,3.0,78.95549716117105,3.0,99.97613214683935,D,1.99,13.56296949740749,-0.239,27.499411014309594,682.1133728807795,700.743713750538,99.23571074768583,A
415,Cory A. Booker,Senate,B001288,New Jersey,,Democratic,6.0,55.01,37.0,94.13,39.0,45.32025015206532,13.541666666666666,86.17358446048713,16.0,64.93166533938467,5.555555555555555,52.415701801178386,0.0,5.111406314983323,0.0,26.880262246198537,D,4.27,23.59064257540729,-0.572,9.04844439932624,387.47064654871315,398.3643313807393,44.431233550720165,C
421,Andy Kim,Senate,K000394,New Jersey,,Democratic,1.0,15.57,9.0,20.93,13.0,17.825654124122998,5.2,24.256583211606724,33.0,52.082384181757945,13.2,11.972244786879148,1.0,20.578377338260168,1.0,77.44026148862528,D,4.27,23.59064257540729,-0.337,20.737718891322643,280.6312929697152,290.16139193049537,14.50031053677787,F
424,Martin Heinrich,Senate,H001046,New Mexico,,Democratic,2.0,21.64,15.0,38.21,33.0,38.08619340717676,5.9891107078039925,29.836861317178464,68.0,26.44212401418029,12.34119782214156,14.97722583349439,1.0,20.578377338260168,1.0,77.44026148862528,D,3.68,20.66700143350656,-0.331,21.121221199767543,311.65133021355905,321.3834570431581,21.383067611127043,C
432,Ben Ray Lujan,Senate,L000570,New Mexico,,Democratic,5.45,50.03,18.54,50.01,29.0,33.46968753912732,10.545454545454543,67.24051047747257,18.0,63.47667566782103,6.545454545454546,46.03356652224857,1.0,20.578377338260168,1.0,77.44026148862528,D,3.68,20.66700143350656,-0.368,18.822816996329845,430.66919882877716,443.6230435360937,59.636883066960124,B
