name,bioguide_id,num_cross_party_cosponsored_bills
Christopher H. Smith,S000522,5
James C. Justice,J000312,5
Randy Feenstra,F000446,5
Richard Hudson,H001067,4
Kevin Kiley,K000401,4
David H. McCormick,M001243,4
Tracey Mann,M000871,4
Darrell Issa,I000056,4
Ron Johnson,J000293,4
Rand Paul,P000603,4
Pablo JosÃÂ© HernÃÂ¡ndez,H001103,4
David Kustoff,K000392,4
Troy E. Nehls,N000026,4
Erin Houchin,H001093,4
Keith Self,S001224,4
Burgess Owens,O000086,4
Rick W. Allen,A000372,4
Andy Harris,H001052,4
Anna Paulina Luna,L000596,4
Maxine Waters,W000187,4
Nancy Mace,M000194,4
Becca Balint,B001318,4
Robert B. Aderholt,A000055,4
Wesley Bell,B001324,4
Shomari Figures,F000481,4
David McCormick,M001243,4
Christopher S. Murphy,M001169,4
Gilbert Ray Cisneros,C001123,4
John Joyce,J000302,4
Monica De La Cruz,D000594,4
Scott Franklin,F000472,4
Mitch McConnell,M000355,4
Pat Fallon,F000246,4
Tony Gonzales,G000594,4
Brian Jack,J000311,3
John James,J000307,3
Chip Roy,R000614,3
Adam Gray,G000605,3
Harriet M. Hageman,H001096,3
Beth Van Duyne,V000134,3
Michael K. Simpson,S001148,3
Lloyd Smucker,S001199,3
Julie Johnson,J000310,3
Sydney Kamlager-Dove,K000400,3
Mike Flood,F000474,3
Scott Fitzgerald,F000471,3
Dale W. Strong,S001220,3
Veronica Escobar,E000299,3
Ashley Hinson,H001091,3
Lateefah Simon,S001231,3
Max L. Miller,M001222,3
Michael T. McCaul,M001157,3
Lauren Underwood,U000040,3
Eric S. Schmitt,S001227,3
Steve Womack,W000809,3
Mike Collins,C001129,3
Andy Biggs,B001302,3
Laurel M. Lee,L000597,3
Neal P. Dunn,D000628,3
Byron Donalds,D000032,3
Lisa C. McClain,M001136,3
Andrew S. Clyde,C001116,3
Tom Cole,C001053,3
Gabe Evans,E000300,3
Guy Reschenthaler,R000610,3
Elijah Crane,C001132,3
Trent Kelly,K000388,3
Diana Harshbarger,H001086,3
Yassamin Ansari,A000381,3
Ken Calvert,C000059,3
Mario Diaz-Balart,D000600,3
"Robert C. ""Bobby"" Scott",S000185,3
Abraham J. Hamadeh,H001098,2
Tim Walberg,W000798,2
Daniel Webster,W000806,2
Nancy Pelosi,P000197,2
Tony Wied,W000829,2
Sam T. Liccardo,L000607,2
Pete Aguilar,A000371,2
Marjorie Taylor Greene,G000596,2
Russell Fry,F000478,2
J. French Hill,H001072,2
Glenn Grothman,G000576,2
Carlos A. Gimenez,G000593,2
Lauren Boebert,B000825,2
Aaron Bean,B001314,2
Gary J. Palmer,P000609,2
Barry Moore,M001212,2
Warren Davidson,D000626,2
William R. Timmons,T000480,2
Sheri Biggs,B001325,2
Cory Mills,M001216,2
Nathaniel Moran,M001224,2
Summer L. Lee,L000602,2
Marco Rubio,R000595,2
Morgan Luttrell,L000603,2
Kat Cammack,C001039,2
Al Green,G000553,2
Andy Barr,B001282,2
W. Gregory Steube,S001214,2
Tom Barrett,B001321,2
Jon Husted,H001104,2
David Schweikert,S001183,2
Vince Fong,F000480,2
Thomas Massie,M001184,2
Robert E. Latta,L000566,2
John R. Carter,C001051,2
Maxine Dexter,D000635,2
David Rouzer,R000603,2
Barry Loudermilk,L000583,2
Hakeem S. Jeffries,J000294,1
Ayanna Pressley,P000617,1
Luz M. Rivas,R000620,1
Dave Min,M001241,1
Frank D. Lucas,L000491,1
John W. Rose,R000612,1
David J. Taylor,T000490,1
Emily Randall,R000621,1
Tim Moore,M001236,1
Pat Harrigan,H001101,1
Virginia Foxx,F000450,1
Brandon Gill,G000603,1
James Comer,C001108,1
Michael Guest,G000591,1
Paul A. Gosar,G000565,1
Josh Brecheen,B001317,1
Derek Schmidt,S001228,1
Jeff Hurd,H001100,1
Ann Wagner,W000812,1
Harold Rogers,R000395,1
Scott Perry,P000605,1
Riley M. Moore,M001235,1
Andrew Ogles,O000175,1
Thomas P. Tiffany,T000165,1
Jake Ellzey,E000071,1
Brian Babin,B001291,1
H. Morgan Griffith,G000568,1
Clay Higgins,H001077,1
Ralph Norman,N000190,1
Mike Haridopolos,H001099,1
Mike Kennedy,K000403,1
Bruce Westerman,W000821,1
Mark B. Messmer,M001233,1
Pete Sessions,S000250,1
Brian J. Mast,M001199,1
Roger Williams,W000816,1
Troy Downing,D000634,1
Michael Baumgartner,B001322,1
Mike Bost,B001295,1
Mike Rogers,R000575,1
James E. Clyburn,C000537,1
Scott DesJarlais,D000616,1
Sam Graves,G000546,1
Jefferson Shreve,S001229,1
Jim Jordan,J000289,0
Tom Emmer,E000294,0
Jason Smith,S001195,0
Greg Casar,C001131,0
Tom McClintock,M001177,0
Brett Guthrie,G000558,0
John J. McGuire,M001239,0
Victoria Spartz,S000929,0
Marlin A. Stutzman,S001188,0
Robert F. Onder,O000177,0
Michelle Fischbach,F000470,0
Nicholas J. Begich,B001323,0
Mark E. Green,G000590,0
Jodey C. Arrington,A000375,0
Ben Cline,C001118,0
Jeff Crank,C001137,0
Wesley Hunt,H001095,0
Julie Fedorchak,F000482,0
Craig A. Goldman,G000601,0
Michael Cloud,C001115,0
Eric Burlison,B001316,0
Julia Letlow,L000595,0
Mark Harris,H001102,0
Addison P. McDowell,M001240,0
Brad Knott,K000405,0
Mary E. Miller,M001211,0
Ron Estes,E000298,0
Cliff Bentz,B000668,0
Ronny Jackson,J000304,0
Kevin Hern,H001082,0
Adrian Smith,S001172,0
Katherine M. Clark,C001101,0
Elise M. Stefanik,S001196,0
Ashley Moody,M001244,0
Steve Scalise,S001176,0
Mike Johnson,J000299,0
